ENSMUST00000193812,ENSMUSG00000102693
ENSMUST00000193241,ENSMUSG00000104046
ENSMUST00000194850,ENSMUSG00000102907
ENSMUST00000192685,ENSMUSG00000025905
ENSMUST00000160777,ENSMUSG00000025905
ENSMUST00000027038,ENSMUSG00000025905
ENSMUST00000160339,ENSMUSG00000025905
ENSMUST00000159083,ENSMUSG00000025905
ENSMUST00000193797,ENSMUSG00000103936
ENSMUST00000175274,ENSMUSG00000093015
ENSMUST00000193807,ENSMUSG00000103519
ENSMUST00000044180,ENSMUSG00000033774
ENSMUST00000191956,ENSMUSG00000103090
ENSMUST00000159906,ENSMUSG00000025907
ENSMUST00000160871,ENSMUSG00000025907
ENSMUST00000027040,ENSMUSG00000025907
ENSMUST00000162210,ENSMUSG00000025907
ENSMUST00000160062,ENSMUSG00000025907
ENSMUST00000162795,ENSMUSG00000025907
ENSMUST00000161327,ENSMUSG00000025907
ENSMUST00000159802,ENSMUSG00000025907
ENSMUST00000162257,ENSMUSG00000025907
ENSMUST00000159206,ENSMUSG00000025907
ENSMUST00000159661,ENSMUSG00000025907
ENSMUST00000161183,ENSMUSG00000025907
ENSMUST00000159349,ENSMUSG00000025907
ENSMUST00000159530,ENSMUSG00000025907
ENSMUST00000162418,ENSMUSG00000025907
ENSMUST00000159656,ENSMUSG00000025907
ENSMUST00000191825,ENSMUSG00000090031
ENSMUST00000159618,ENSMUSG00000090031
ENSMUST00000097832,ENSMUSG00000090031
ENSMUST00000133144,ENSMUSG00000087247
ENSMUST00000193588,ENSMUSG00000103355
ENSMUST00000192950,ENSMUSG00000102706
ENSMUST00000194240,ENSMUSG00000103845
ENSMUST00000140079,ENSMUSG00000033740
ENSMUST00000131494,ENSMUSG00000033740
ENSMUST00000043578,ENSMUSG00000033740
ENSMUST00000139756,ENSMUSG00000033740
ENSMUST00000131467,ENSMUSG00000033740
ENSMUST00000150761,ENSMUSG00000033740
ENSMUST00000151281,ENSMUSG00000033740
ENSMUST00000139838,ENSMUSG00000033740
ENSMUST00000163727,ENSMUSG00000033740
ENSMUST00000132207,ENSMUSG00000033740
ENSMUST00000142304,ENSMUSG00000033740
ENSMUST00000151015,ENSMUSG00000033740
ENSMUST00000130338,ENSMUSG00000033740
ENSMUST00000195780,ENSMUSG00000103329
ENSMUST00000194393,ENSMUSG00000104385
ENSMUST00000194605,ENSMUSG00000102135
ENSMUST00000191703,ENSMUSG00000103282
ENSMUST00000193423,ENSMUSG00000102534
ENSMUST00000191883,ENSMUSG00000102213
ENSMUST00000195648,ENSMUSG00000103629
ENSMUST00000061280,ENSMUSG00000051285
ENSMUST00000182114,ENSMUSG00000051285
ENSMUST00000182306,ENSMUSG00000051285
ENSMUST00000182823,ENSMUSG00000051285
ENSMUST00000182675,ENSMUSG00000051285
ENSMUST00000182388,ENSMUSG00000051285
ENSMUST00000182892,ENSMUSG00000051285
ENSMUST00000183204,ENSMUSG00000051285
ENSMUST00000182051,ENSMUSG00000098201
ENSMUST00000194854,ENSMUSG00000103509
ENSMUST00000029124,ENSMUSG00000048538
ENSMUST00000195269,ENSMUSG00000103709
ENSMUST00000104056,ENSMUSG00000077244
ENSMUST00000192649,ENSMUSG00000102768
ENSMUST00000181554,ENSMUSG00000097797
ENSMUST00000193106,ENSMUSG00000097797
ENSMUST00000193732,ENSMUSG00000097797
ENSMUST00000193428,ENSMUSG00000097797
ENSMUST00000193998,ENSMUSG00000103498
ENSMUST00000194886,ENSMUSG00000103067
ENSMUST00000195081,ENSMUSG00000102320
ENSMUST00000194219,ENSMUSG00000104226
ENSMUST00000194305,ENSMUSG00000103903
ENSMUST00000194872,ENSMUSG00000103557
ENSMUST00000140295,ENSMUSG00000025909
ENSMUST00000132064,ENSMUSG00000025909
ENSMUST00000191683,ENSMUSG00000025909
ENSMUST00000140302,ENSMUSG00000025909
ENSMUST00000115484,ENSMUSG00000025909
ENSMUST00000135046,ENSMUSG00000025909
ENSMUST00000115488,ENSMUSG00000025909
ENSMUST00000144593,ENSMUSG00000025909
ENSMUST00000134075,ENSMUSG00000025909
ENSMUST00000194098,ENSMUSG00000025909
ENSMUST00000126083,ENSMUSG00000025909
ENSMUST00000192338,ENSMUSG00000102647
ENSMUST00000140995,ENSMUSG00000086235
ENSMUST00000194602,ENSMUSG00000102253
ENSMUST00000103887,ENSMUSG00000093970
ENSMUST00000193281,ENSMUSG00000103884
ENSMUST00000119877,ENSMUSG00000084353
ENSMUST00000191876,ENSMUSG00000103933
ENSMUST00000102181,ENSMUSG00000076135
ENSMUST00000151704,ENSMUSG00000086195
ENSMUST00000192115,ENSMUSG00000104504
ENSMUST00000085919,ENSMUSG00000066693
ENSMUST00000193635,ENSMUSG00000102316
ENSMUST00000195333,ENSMUSG00000103819
ENSMUST00000195180,ENSMUSG00000102871
ENSMUST00000040649,ENSMUSG00000101571
ENSMUST00000192026,ENSMUSG00000104428
ENSMUST00000195217,ENSMUSG00000102272
ENSMUST00000083691,ENSMUSG00000065625
ENSMUST00000192792,ENSMUSG00000103411
ENSMUST00000072079,ENSMUSG00000061024
ENSMUST00000144177,ENSMUSG00000025911
ENSMUST00000027044,ENSMUSG00000025911
ENSMUST00000130927,ENSMUSG00000025911
ENSMUST00000186467,ENSMUSG00000025911
ENSMUST00000190654,ENSMUSG00000025911
ENSMUST00000115480,ENSMUSG00000079671
ENSMUST00000145176,ENSMUSG00000079671
ENSMUST00000148585,ENSMUSG00000079671
ENSMUST00000153239,ENSMUSG00000079671
ENSMUST00000148310,ENSMUSG00000079671
ENSMUST00000121942,ENSMUSG00000081441
ENSMUST00000088666,ENSMUSG00000067879
ENSMUST00000191209,ENSMUSG00000099827
ENSMUST00000088658,ENSMUSG00000025912
ENSMUST00000115468,ENSMUSG00000025912
ENSMUST00000160022,ENSMUSG00000025912
ENSMUST00000160451,ENSMUSG00000025912
ENSMUST00000188212,ENSMUSG00000025912
ENSMUST00000057438,ENSMUSG00000045210
ENSMUST00000181821,ENSMUSG00000097893
ENSMUST00000181358,ENSMUSG00000097893
ENSMUST00000191287,ENSMUSG00000097893
ENSMUST00000189431,ENSMUSG00000097893
ENSMUST00000207445,ENSMUSG00000097893
ENSMUST00000209020,ENSMUSG00000097893
ENSMUST00000189322,ENSMUSG00000097893
ENSMUST00000166384,ENSMUSG00000025915
ENSMUST00000188782,ENSMUSG00000025915
ENSMUST00000168907,ENSMUSG00000025915
ENSMUST00000188625,ENSMUSG00000025915
ENSMUST00000188738,ENSMUSG00000025915
ENSMUST00000188298,ENSMUSG00000025915
ENSMUST00000171265,ENSMUSG00000025915
ENSMUST00000188830,ENSMUSG00000025915
ENSMUST00000189050,ENSMUSG00000025915
ENSMUST00000097826,ENSMUSG00000025915
ENSMUST00000191338,ENSMUSG00000025915
ENSMUST00000188486,ENSMUSG00000025915
ENSMUST00000063059,ENSMUSG00000046334
ENSMUST00000158291,ENSMUSG00000088916
ENSMUST00000052843,ENSMUSG00000046101
ENSMUST00000171802,ENSMUSG00000046101
ENSMUST00000125294,ENSMUSG00000046101
ENSMUST00000140948,ENSMUSG00000046101
ENSMUST00000118098,ENSMUSG00000046101
ENSMUST00000183059,ENSMUSG00000046101
ENSMUST00000182580,ENSMUSG00000098234
ENSMUST00000182819,ENSMUSG00000098234
ENSMUST00000182043,ENSMUSG00000098234
ENSMUST00000182498,ENSMUSG00000098234
ENSMUST00000182742,ENSMUSG00000098234
ENSMUST00000175437,ENSMUSG00000093178
ENSMUST00000185184,ENSMUSG00000099032
ENSMUST00000097824,ENSMUSG00000099032
ENSMUST00000192299,ENSMUSG00000104025
ENSMUST00000147000,ENSMUSG00000025916
ENSMUST00000124874,ENSMUSG00000025916
ENSMUST00000027049,ENSMUSG00000025916
ENSMUST00000130102,ENSMUSG00000025916
ENSMUST00000176398,ENSMUSG00000025916
ENSMUST00000155163,ENSMUSG00000025916
ENSMUST00000134692,ENSMUSG00000087199
ENSMUST00000179194,ENSMUSG00000095780
ENSMUST00000027050,ENSMUSG00000025917
ENSMUST00000190155,ENSMUSG00000025917
ENSMUST00000186528,ENSMUSG00000025917
ENSMUST00000188619,ENSMUSG00000025917
ENSMUST00000139578,ENSMUSG00000025917
ENSMUST00000150509,ENSMUSG00000025917
ENSMUST00000191296,ENSMUSG00000025917
ENSMUST00000190610,ENSMUSG00000056763
ENSMUST00000191012,ENSMUSG00000056763
ENSMUST00000071087,ENSMUSG00000056763
ENSMUST00000143606,ENSMUSG00000056763
ENSMUST00000191360,ENSMUSG00000056763
ENSMUST00000117415,ENSMUSG00000056763
ENSMUST00000191521,ENSMUSG00000056763
ENSMUST00000118263,ENSMUSG00000056763
ENSMUST00000122156,ENSMUSG00000056763
ENSMUST00000190063,ENSMUSG00000056763
ENSMUST00000119714,ENSMUSG00000056763
ENSMUST00000134716,ENSMUSG00000056763
ENSMUST00000155974,ENSMUSG00000056763
ENSMUST00000186294,ENSMUSG00000056763
ENSMUST00000149214,ENSMUSG00000056763
ENSMUST00000190318,ENSMUSG00000056763
ENSMUST00000188249,ENSMUSG00000056763
ENSMUST00000153804,ENSMUSG00000056763
ENSMUST00000188449,ENSMUSG00000056763
ENSMUST00000123261,ENSMUSG00000056763
ENSMUST00000185422,ENSMUSG00000056763
ENSMUST00000190625,ENSMUSG00000056763
ENSMUST00000187226,ENSMUSG00000056763
ENSMUST00000136283,ENSMUSG00000056763
ENSMUST00000128164,ENSMUSG00000056763
ENSMUST00000136898,ENSMUSG00000056763
ENSMUST00000148663,ENSMUSG00000056763
ENSMUST00000194474,ENSMUSG00000102356
ENSMUST00000088615,ENSMUSG00000067851
ENSMUST00000187417,ENSMUSG00000067851
ENSMUST00000142497,ENSMUSG00000067851
ENSMUST00000156563,ENSMUSG00000067851
ENSMUST00000128834,ENSMUSG00000067851
ENSMUST00000131556,ENSMUSG00000067851
ENSMUST00000186813,ENSMUSG00000067851
ENSMUST00000186720,ENSMUSG00000067851
ENSMUST00000157528,ENSMUSG00000088153
ENSMUST00000192111,ENSMUSG00000102556
ENSMUST00000153695,ENSMUSG00000042501
ENSMUST00000035577,ENSMUSG00000042501
ENSMUST00000147575,ENSMUSG00000042501
ENSMUST00000140938,ENSMUSG00000042501
ENSMUST00000194845,ENSMUSG00000103810
ENSMUST00000118350,ENSMUSG00000083422
ENSMUST00000179958,ENSMUSG00000094979
ENSMUST00000119252,ENSMUSG00000081417
ENSMUST00000192705,ENSMUSG00000103448
ENSMUST00000189483,ENSMUSG00000100212
ENSMUST00000188013,ENSMUSG00000100648
ENSMUST00000157960,ENSMUSG00000088585
ENSMUST00000027056,ENSMUSG00000048960
ENSMUST00000190935,ENSMUSG00000048960
ENSMUST00000189822,ENSMUSG00000048960
ENSMUST00000187694,ENSMUSG00000048960
ENSMUST00000188189,ENSMUSG00000048960
ENSMUST00000187745,ENSMUSG00000048960
ENSMUST00000189385,ENSMUSG00000048960
ENSMUST00000188154,ENSMUSG00000048960
ENSMUST00000104130,ENSMUSG00000077318
ENSMUST00000187404,ENSMUSG00000101827
ENSMUST00000193623,ENSMUSG00000103494
ENSMUST00000048613,ENSMUSG00000057715
ENSMUST00000171690,ENSMUSG00000057715
ENSMUST00000150870,ENSMUSG00000057715
ENSMUST00000142117,ENSMUSG00000057715
ENSMUST00000141512,ENSMUSG00000057715
ENSMUST00000135014,ENSMUSG00000057715
ENSMUST00000137824,ENSMUSG00000057715
ENSMUST00000179089,ENSMUSG00000057715
ENSMUST00000141339,ENSMUSG00000057715
ENSMUST00000191437,ENSMUSG00000057715
ENSMUST00000194502,ENSMUSG00000103825
ENSMUST00000188880,ENSMUSG00000099845
ENSMUST00000195360,ENSMUSG00000103561
ENSMUST00000187748,ENSMUSG00000101610
ENSMUST00000179834,ENSMUSG00000093864
ENSMUST00000183490,ENSMUSG00000098555
ENSMUST00000181461,ENSMUSG00000097628
ENSMUST00000182390,ENSMUSG00000098163
ENSMUST00000181272,ENSMUSG00000097171
ENSMUST00000186962,ENSMUSG00000101314
ENSMUST00000177608,ENSMUSG00000016918
ENSMUST00000180062,ENSMUSG00000016918
ENSMUST00000186051,ENSMUSG00000016918
ENSMUST00000187376,ENSMUSG00000016918
ENSMUST00000088585,ENSMUSG00000016918
ENSMUST00000189541,ENSMUSG00000016918
ENSMUST00000186405,ENSMUSG00000016918
ENSMUST00000186674,ENSMUSG00000016918
ENSMUST00000189447,ENSMUSG00000016918
ENSMUST00000185780,ENSMUSG00000016918
ENSMUST00000188454,ENSMUSG00000025938
ENSMUST00000115403,ENSMUSG00000025938
ENSMUST00000115402,ENSMUSG00000025938
ENSMUST00000136197,ENSMUSG00000025938
ENSMUST00000146763,ENSMUSG00000025938
ENSMUST00000147606,ENSMUSG00000025938
ENSMUST00000133201,ENSMUSG00000025938
ENSMUST00000191566,ENSMUSG00000025938
ENSMUST00000191708,ENSMUSG00000104518
ENSMUST00000059065,ENSMUSG00000069620
ENSMUST00000187394,ENSMUSG00000099498
ENSMUST00000047577,ENSMUSG00000042414
ENSMUST00000081713,ENSMUSG00000005886
ENSMUST00000068304,ENSMUSG00000005886
ENSMUST00000006037,ENSMUSG00000005886
ENSMUST00000185275,ENSMUSG00000005886
ENSMUST00000146784,ENSMUSG00000005886
ENSMUST00000133232,ENSMUSG00000005886
ENSMUST00000147927,ENSMUSG00000005886
ENSMUST00000143603,ENSMUSG00000005886
ENSMUST00000139970,ENSMUSG00000005886
ENSMUST00000124088,ENSMUSG00000005886
ENSMUST00000145280,ENSMUSG00000005886
ENSMUST00000195493,ENSMUSG00000103506
ENSMUST00000195811,ENSMUSG00000103495
ENSMUST00000183805,ENSMUSG00000099183
ENSMUST00000194484,ENSMUSG00000102639
ENSMUST00000194357,ENSMUSG00000104170
ENSMUST00000157157,ENSMUSG00000087782
ENSMUST00000195506,ENSMUSG00000103085
ENSMUST00000195718,ENSMUSG00000102664
ENSMUST00000185813,ENSMUSG00000101476
ENSMUST00000187246,ENSMUSG00000101171
ENSMUST00000027068,ENSMUSG00000025935
ENSMUST00000185447,ENSMUSG00000025935
ENSMUST00000188377,ENSMUSG00000025935
ENSMUST00000027071,ENSMUSG00000025937
ENSMUST00000156222,ENSMUSG00000025937
ENSMUST00000194537,ENSMUSG00000102982
ENSMUST00000088542,ENSMUSG00000067813
ENSMUST00000104180,ENSMUSG00000077368
ENSMUST00000180415,ENSMUSG00000097711
ENSMUST00000194709,ENSMUSG00000102166
ENSMUST00000158733,ENSMUSG00000089358
ENSMUST00000193148,ENSMUSG00000104209
ENSMUST00000027066,ENSMUSG00000025932
ENSMUST00000168081,ENSMUSG00000025932
ENSMUST00000080664,ENSMUSG00000025932
ENSMUST00000190337,ENSMUSG00000025932
ENSMUST00000189526,ENSMUSG00000025932
ENSMUST00000188857,ENSMUSG00000025932
ENSMUST00000185453,ENSMUSG00000025932
ENSMUST00000187790,ENSMUSG00000025932
ENSMUST00000185329,ENSMUSG00000025932
ENSMUST00000179783,ENSMUSG00000095853
ENSMUST00000193605,ENSMUSG00000102588
ENSMUST00000187401,ENSMUSG00000054493
ENSMUST00000067599,ENSMUSG00000054493
ENSMUST00000027062,ENSMUSG00000025930
ENSMUST00000190719,ENSMUSG00000025930
ENSMUST00000188982,ENSMUSG00000025930
ENSMUST00000190471,ENSMUSG00000025930
ENSMUST00000194866,ENSMUSG00000103492
ENSMUST00000121569,ENSMUSG00000081201
ENSMUST00000121367,ENSMUSG00000082193
ENSMUST00000041447,ENSMUSG00000032769
ENSMUST00000157534,ENSMUSG00000088159
ENSMUST00000086739,ENSMUSG00000073737
ENSMUST00000175681,ENSMUSG00000092083
ENSMUST00000170146,ENSMUSG00000092083
ENSMUST00000193873,ENSMUSG00000102937
ENSMUST00000194564,ENSMUSG00000104149
ENSMUST00000158204,ENSMUSG00000088829
ENSMUST00000104189,ENSMUSG00000077377
ENSMUST00000188671,ENSMUSG00000101652
ENSMUST00000188400,ENSMUSG00000100814
ENSMUST00000188371,ENSMUSG00000025925
ENSMUST00000186565,ENSMUSG00000025925
ENSMUST00000027057,ENSMUSG00000025925
ENSMUST00000188684,ENSMUSG00000025925
ENSMUST00000194867,ENSMUSG00000104379
ENSMUST00000040695,ENSMUSG00000032719
ENSMUST00000158318,ENSMUSG00000088943
ENSMUST00000185778,ENSMUSG00000100652
ENSMUST00000115367,ENSMUSG00000067795
ENSMUST00000145070,ENSMUSG00000067795
ENSMUST00000151004,ENSMUSG00000067795
ENSMUST00000140597,ENSMUSG00000043716
ENSMUST00000058437,ENSMUSG00000043716
ENSMUST00000141217,ENSMUSG00000043716
ENSMUST00000151017,ENSMUSG00000043716
ENSMUST00000149566,ENSMUSG00000043716
ENSMUST00000125005,ENSMUSG00000043716
ENSMUST00000027053,ENSMUSG00000025921
ENSMUST00000152626,ENSMUSG00000025921
ENSMUST00000192560,ENSMUSG00000104165
ENSMUST00000186343,ENSMUSG00000100868
ENSMUST00000162751,ENSMUSG00000025920
ENSMUST00000054668,ENSMUSG00000025920
ENSMUST00000162627,ENSMUSG00000025920
ENSMUST00000027052,ENSMUSG00000025920
ENSMUST00000162435,ENSMUSG00000025920
ENSMUST00000159558,ENSMUSG00000025920
ENSMUST00000128957,ENSMUSG00000025920
ENSMUST00000131257,ENSMUSG00000025920
ENSMUST00000115360,ENSMUSG00000025920
ENSMUST00000162007,ENSMUSG00000025920
ENSMUST00000127420,ENSMUSG00000025920
ENSMUST00000149320,ENSMUSG00000025920
ENSMUST00000151888,ENSMUSG00000025920
ENSMUST00000153966,ENSMUSG00000025920
ENSMUST00000115359,ENSMUSG00000025920
ENSMUST00000145092,ENSMUSG00000025920
ENSMUST00000144138,ENSMUSG00000025920
ENSMUST00000160446,ENSMUSG00000089982
ENSMUST00000161626,ENSMUSG00000089982
ENSMUST00000159190,ENSMUSG00000089982
ENSMUST00000182554,ENSMUSG00000025939
ENSMUST00000182080,ENSMUSG00000025939
ENSMUST00000117146,ENSMUSG00000025939
ENSMUST00000133639,ENSMUSG00000025939
ENSMUST00000136455,ENSMUSG00000025939
ENSMUST00000132919,ENSMUSG00000025939
ENSMUST00000195710,ENSMUSG00000102457
ENSMUST00000188641,ENSMUSG00000079658
ENSMUST00000115352,ENSMUSG00000079658
ENSMUST00000186948,ENSMUSG00000079658
ENSMUST00000187910,ENSMUSG00000079658
ENSMUST00000185771,ENSMUSG00000079658
ENSMUST00000185393,ENSMUSG00000079658
ENSMUST00000186701,ENSMUSG00000079658
ENSMUST00000188987,ENSMUSG00000079658
ENSMUST00000186541,ENSMUSG00000079658
ENSMUST00000190986,ENSMUSG00000079658
ENSMUST00000191535,ENSMUSG00000079658
ENSMUST00000181371,ENSMUSG00000097744
ENSMUST00000186738,ENSMUSG00000100959
ENSMUST00000177501,ENSMUSG00000025940
ENSMUST00000177532,ENSMUSG00000025940
ENSMUST00000065373,ENSMUSG00000025940
ENSMUST00000176451,ENSMUSG00000025940
ENSMUST00000191260,ENSMUSG00000025779
ENSMUST00000026881,ENSMUSG00000025779
ENSMUST00000190366,ENSMUSG00000025779
ENSMUST00000185649,ENSMUSG00000100093
ENSMUST00000071842,ENSMUSG00000091020
ENSMUST00000186604,ENSMUSG00000101640
ENSMUST00000194790,ENSMUSG00000104133
ENSMUST00000186024,ENSMUSG00000042686
ENSMUST00000038382,ENSMUSG00000042686
ENSMUST00000188872,ENSMUSG00000100110
ENSMUST00000026879,ENSMUSG00000025777
ENSMUST00000150457,ENSMUSG00000025777
ENSMUST00000189736,ENSMUSG00000025777
ENSMUST00000189465,ENSMUSG00000025777
ENSMUST00000187817,ENSMUSG00000099899
ENSMUST00000187478,ENSMUSG00000100272
ENSMUST00000188959,ENSMUSG00000100398
ENSMUST00000186192,ENSMUSG00000101589
ENSMUST00000186816,ENSMUSG00000102048
ENSMUST00000158909,ENSMUSG00000089534
ENSMUST00000088476,ENSMUSG00000067780
ENSMUST00000186267,ENSMUSG00000100053
ENSMUST00000155588,ENSMUSG00000085125
ENSMUST00000127328,ENSMUSG00000085125
ENSMUST00000149914,ENSMUSG00000085125
ENSMUST00000159958,ENSMUSG00000025776
ENSMUST00000160305,ENSMUSG00000025776
ENSMUST00000095075,ENSMUSG00000025776
ENSMUST00000189853,ENSMUSG00000099895
ENSMUST00000190885,ENSMUSG00000100554
ENSMUST00000190763,ENSMUSG00000099473
ENSMUST00000185706,ENSMUSG00000099591
ENSMUST00000185773,ENSMUSG00000102001
ENSMUST00000191057,ENSMUSG00000101717
ENSMUST00000188360,ENSMUSG00000101717
ENSMUST00000026876,ENSMUSG00000025774
ENSMUST00000130669,ENSMUSG00000025774
ENSMUST00000115340,ENSMUSG00000025774
ENSMUST00000115344,ENSMUSG00000025774
ENSMUST00000126871,ENSMUSG00000070977
ENSMUST00000097818,ENSMUSG00000073735
ENSMUST00000088463,ENSMUSG00000067773
ENSMUST00000097817,ENSMUSG00000067773
ENSMUST00000186435,ENSMUSG00000101685
ENSMUST00000187966,ENSMUSG00000101738
ENSMUST00000189030,ENSMUSG00000101306
ENSMUST00000158175,ENSMUSG00000088800
ENSMUST00000185386,ENSMUSG00000101644
ENSMUST00000185704,ENSMUSG00000099433
ENSMUST00000159108,ENSMUSG00000089787
ENSMUST00000037294,ENSMUSG00000042596
ENSMUST00000149505,ENSMUSG00000042596
ENSMUST00000162030,ENSMUSG00000100720
ENSMUST00000027059,ENSMUSG00000025927
ENSMUST00000187754,ENSMUSG00000025927
ENSMUST00000064976,ENSMUSG00000025927
ENSMUST00000191068,ENSMUSG00000025927
ENSMUST00000186972,ENSMUSG00000025927
ENSMUST00000189218,ENSMUSG00000100538
ENSMUST00000190883,ENSMUSG00000101117
ENSMUST00000188428,ENSMUSG00000100204
ENSMUST00000122719,ENSMUSG00000084668
ENSMUST00000193790,ENSMUSG00000102597
ENSMUST00000088448,ENSMUSG00000043760
ENSMUST00000132647,ENSMUSG00000043760
ENSMUST00000147480,ENSMUSG00000043760
ENSMUST00000128051,ENSMUSG00000043760
ENSMUST00000194347,ENSMUSG00000104095
ENSMUST00000161509,ENSMUSG00000089914
ENSMUST00000160969,ENSMUSG00000090142
ENSMUST00000093665,ENSMUSG00000070175
ENSMUST00000083625,ENSMUSG00000065559
ENSMUST00000185494,ENSMUSG00000099906
ENSMUST00000083546,ENSMUSG00000065480
ENSMUST00000027061,ENSMUSG00000025929
ENSMUST00000039046,ENSMUSG00000041872
ENSMUST00000191111,ENSMUSG00000041872
ENSMUST00000189301,ENSMUSG00000041872
ENSMUST00000190692,ENSMUSG00000041872
ENSMUST00000053266,ENSMUSG00000041859
ENSMUST00000185296,ENSMUSG00000041859
ENSMUST00000188112,ENSMUSG00000041859
ENSMUST00000191061,ENSMUSG00000041859
ENSMUST00000190421,ENSMUSG00000041859
ENSMUST00000186367,ENSMUSG00000099714
ENSMUST00000185290,ENSMUSG00000102121
ENSMUST00000158233,ENSMUSG00000088858
ENSMUST00000181654,ENSMUSG00000097934
ENSMUST00000189400,ENSMUSG00000025931
ENSMUST00000068880,ENSMUSG00000025931
ENSMUST00000167119,ENSMUSG00000025931
ENSMUST00000187651,ENSMUSG00000025931
ENSMUST00000104126,ENSMUSG00000077314
ENSMUST00000185639,ENSMUSG00000100929
ENSMUST00000160782,ENSMUSG00000041809
ENSMUST00000038447,ENSMUSG00000041809
ENSMUST00000037998,ENSMUSG00000041779
ENSMUST00000187210,ENSMUSG00000041779
ENSMUST00000186612,ENSMUSG00000099971
ENSMUST00000189119,ENSMUSG00000100819
ENSMUST00000027065,ENSMUSG00000025933
ENSMUST00000027064,ENSMUSG00000025933
ENSMUST00000191648,ENSMUSG00000102633
ENSMUST00000027067,ENSMUSG00000025934
ENSMUST00000121676,ENSMUSG00000025934
ENSMUST00000124990,ENSMUSG00000025934
ENSMUST00000190711,ENSMUSG00000025934
ENSMUST00000185842,ENSMUSG00000099343
ENSMUST00000178379,ENSMUSG00000096375
